Title 	 Authors 	 Date of Publication 	 Digital Object Identifier
Streptomyces coelicolor as an expression host for heterologous gene clusters.	Gomez-Escribano JP Bibb MJ	2012	B978-0-12-404634-4.00014-0 [pii] 10.1016/B978-0-12-404634-4.00014-0 [doi]
Plasmid-mediated fosfomycin resistance in Escherichia coli isolated from pig.	Ho PL Chan J Lo WU Law PY Chow KH	2013 Mar 23	S0378-1135(12)00533-0 [pii] 10.1016/j.vetmic.2012.09.023 [doi]
Ultrasensitive detection of E. coli O157:H7 with biofunctional magnetic bead concentration via nanoporous membrane based electrochemical immunosensor.	Chan KY Ye WW Zhang Y Xiao LD Leung PH Li Y Yang M	2013 Mar 15	S0956-5663(12)00622-7 [pii] 10.1016/j.bios.2012.09.016 [doi]
Engineering, conjugation, and immunogenicity assessment of Escherichia coli O121 O antigen for its potential use as a typhoid vaccine component.	Wetter M Kowarik M Steffen M Carranza P Corradin G Wacker M	2013 Jul	10.1007/s10719-012-9451-9 [doi]
Competition between conjugation and M13 phage infection in Escherichia coli in the absence of selection pressure: a kinetic study.	Wan Z Goddard NL	2012 Oct	10.1534/g3.112.003418 [doi] GGG_003418 [pii]
Complete nucleotide sequence of plasmid pND6-2 from Pseudomonas putida ND6 and characterization of conjugative genes.	Li S Zhao H Li Y Niu S Cai B	2013 Jan 1	S0378-1119(12)01174-2 [pii] 10.1016/j.gene.2012.09.065 [doi]
Multiresistant uropathogenic Escherichia coli from a region in India where urinary tract infections are endemic: genotypic and phenotypic characteristics of sequence type 131 isolates of the CTX-M-15 extended-spectrum-beta-lactamase-producing lineage.	Hussain A Ewers C Nandanwar N Guenther S Jadhav S Wieler LH Ahmed N	2012 Dec	AAC.01099-12 [pii] 10.1128/AAC.01099-12 [doi]
Reporter gene mutation in the livers of gpt delta mice treated with 5-(hydroxymethyl)-2-furfural, a contaminant of various foods.	Matsushita K Ishii Y Kijima A Jin M Takasu S Kuroda K Kodama Y Ogawa K Umemura T	2012	DN/JST.JSTAGE/jts/37.1077 [pii]
Molecular diversity associated with the dissemination of CTX-M-15 beta-lactamase gene in blood culture isolates of Escherichia coli from Edinburgh.	Dimude JU Amyes SG	2013 Jan	10.3109/00365548.2012.708781 [doi]
Synthesis of site-specific antibody-drug conjugates using unnatural amino acids.	Axup JY Bajjuri KM Ritland M Hutchins BM Kim CH Kazane SA Halder R Forsyth JS Santidrian AF Stafin K Lu Y Tran H Seller AJ Biroc SL Szydlik A Pinkstaff JK Tian F Sinha SC Felding-Habermann B Smider VV Schultz PG	2012 Oct 2	1211023109 [pii] 10.1073/pnas.1211023109 [doi]
Integrating conjugative elements of the SXT/R391 family from fish-isolated Vibrios encode restriction-modification systems that confer resistance to bacteriophages.	Balado M Lemos ML Osorio CR	2013 Feb	10.1111/1574-6941.12007 [doi]
Electron microscopic structures, serum resistance, and plasmid restructuring of New Delhi metallo-beta-lactamase-1 (NDM-1)-producing ST42 Klebsiella pneumoniae emerging in Japan.	Yamamoto T Takano T Fusegawa T Shibuya T Hung WC Higuchi W Iwao Y Khokhlova O Reva I	2013 Feb	10.1007/s10156-012-0470-z [doi] S1341-321X(13)70189-2 [pii]
Development of quinoxaline 1, 4-dioxides resistance in Escherichia coli and molecular change under resistance selection.	Guo W Hao H Dai M Wang Y Huang L Peng D Wang X Wang H Yao M Sun Y Liu Z Yuan Z	2012	10.1371/journal.pone.0043322 [doi] PONE-D-12-15703 [pii]
In vitro PCNA modification assays.	Parker JL Ulrich HD	2012	10.1007/978-1-61779-998-3_37 [doi]
Deletion of a single helix from the transmembrane domain causes large changes in membrane insertion properties and secondary structure of the bacterial conjugation protein TrwB.	Vecino AJ Segura Rde L de la Arada I de la Cruz F Goni FM Arrondo JL Alkorta I	2012 Dec	S0005-2736(12)00296-9 [pii] 10.1016/j.bbamem.2012.08.015 [doi]
Spread of CTX-M-15 positive Providencia spp. causing urinary tract infections at the University Hospital Split in Croatia.	Barl P Bedenic B Sardelic S Uzunovic S Vranes J Plecko V	2012 Aug	?
Coupling purification and on-column PEGylation of tumor necrosis factor alpha analogue.	Milunovic T Kunstelj M Fidler K Anderluh G Gaberc Porekar V	2012 Nov 15	S0003-2697(12)00420-4 [pii] 10.1016/j.ab.2012.08.013 [doi]
Design and production of multimeric antibody fragments, focused on diabodies with enhanced clinical efficacy.	Powers GA Hudson PJ Wheatcroft MP	2012	10.1007/978-1-61779-974-7_39 [doi]
[NDM-1-producing Klebsiella pneumoniae in mainland China].	Zou MX Wu JM Li J Dou QY Zhou RR Huang Y Liu WE	2012 Aug	1008-8830(2012)08-0616-06 [pii]
Origin and fate of the 3' ends of single-stranded DNA generated by conjugal transfer of plasmid R1162.	Becker EC Meyer R	2012 Oct	JB.00818-12 [pii] 10.1128/JB.00818-12 [doi]
Analysis of drug resistance determinants in Klebsiella pneumoniae isolates from a tertiary-care hospital in Beijing, China.	Li B Yi Y Wang Q Woo PC Tan L Jing H Gao GF Liu CH	2012	10.1371/journal.pone.0042280 [doi] PONE-D-12-10762 [pii]
Harnessing recombination to speed adaptive evolution in Escherichia coli.	Winkler J Kao KC	2012 Sep	S1096-7176(12)00074-2 [pii] 10.1016/j.ymben.2012.07.004 [doi]
Transformation and conjugal transfer of foreign genes into the filamentous multicellular cyanobacteria (subsection V) Fischerella and Chlorogloeopsis.	Stucken K Ilhan J Roettger M Dagan T Martin WF	2012 Nov	10.1007/s00284-012-0193-5 [doi]
Solubilization and bio-conjugation of quantum dots and bacterial toxicity assays by growth curve and plate count.	Park S Chibli H Nadeau J	2012 Jul 11	3969 [pii] 10.3791/3969 [doi]
Genetic transformation of Geobacillus kaustophilus HTA426 by conjugative transfer of host-mimicking plasmids.	Suzuki H Yoshida K	2012 Sep	JMB022-09-16 [pii]
Prevalence and characteristics of beta-lactamase and plasmid-mediated quinolone resistance genes in Escherichia coli isolated from farmed fish in China.	Jiang HX Tang D Liu YH Zhang XH Zeng ZL Xu L Hawkey PM	2012 Oct	dks250 [pii] 10.1093/jac/dks250 [doi]
Cell-penetrating peptides as delivery vehicles for a protein-targeted terbium complex.	Mohandessi S Rajendran M Magda D Miller LW	2012 Aug 27	10.1002/chem.201201805 [doi]
Exogenous isolation of conjugative plasmids from pesticide contaminated soil.	Anjum R Grohmann E Malik A	2012 Feb	10.1007/s11274-011-0849-5 [doi]
Horizontal gene transfer of stress resistance genes through plasmid transport.	Shoeb E Badar U Akhter J Shams H Sultana M Ansari MA	2012 Mar	10.1007/s11274-011-0900-6 [doi]
Emergence of NDM-1- and IMP-14a-producing Enterobacteriaceae in Thailand.	Rimrang B Chanawong A Lulitanond A Wilailuckana C Charoensri N Sribenjalux P Phumsrikaew W Wonglakorn L Kerdsin A Chetchotisakd P	2012 Nov	dks267 [pii] 10.1093/jac/dks267 [doi]
Investigating the impact of bisphosphonates and structurally related compounds on bacteria containing conjugative plasmids.	Nash RP McNamara DE Ballentine WK 3rd Matson SW Redinbo MR	2012 Aug 10	S0006-291X(12)01295-8 [pii] 10.1016/j.bbrc.2012.07.012 [doi]
Co-production of SFO-1 and DHA-1 beta-lactamases and 16S rRNA methylase ArmA in clinical isolates of Klebsiella pneumoniae.	Guo Q Wang P Ma Y Yang Y Ye X Wang M	2012 Oct	dks244 [pii] 10.1093/jac/dks244 [doi]
CTX-M-15 extended-spectrum beta-lactamases in Enterobacteriaceae in the intensive care unit of Tlemcen Hospital, Algeria.	Ahmed ZB Ayad A Mesli E Messai Y Bakour R Drissi M	2012 Apr	?
Antimicrobial activity of CdS and Ag2S quantum dots immobilized on poly(amidoamine) grafted carbon nanotubes.	Neelgund GM Oki A Luo Z	2012 Dec 1	S0927-7765(12)00283-4 [pii] 10.1016/j.colsurfb.2012.05.012 [doi]
Generation of high-titer of neutralizing polyclonal antibodies against heat-stable enterotoxin (STa) of enterotoxigenic Escherichia coli.	Aref NE Saeed AM	2012 Oct 5	S0264-410X(12)00933-4 [pii] 10.1016/j.vaccine.2012.06.064 [doi]
Genome sequence of Escherichia coli J53, a reference strain for genetic studies.	Yi H Cho YJ Yong D Chun J	2012 Jul	194/14/3742 [pii] 10.1128/JB.00641-12 [doi]
Persistence of transferable extended-spectrum-beta-lactamase resistance in the absence of antibiotic pressure.	Cottell JL Webber MA Piddock LJ	2012 Sep	AAC.00848-12 [pii] 10.1128/AAC.00848-12 [doi]
Detection and validation of a small broad-host-range plasmid pBBR1MCS-2 for use in genetic manipulation of the extremely acidophilic Acidithiobacillus sp.	Hao L Liu X Wang H Lin J Pang X Lin J	2012 Sep	S0167-7012(12)00216-3 [pii] 10.1016/j.mimet.2012.06.003 [doi]
Genetic bioaugmentation as an effective method for in situ bioremediation: functionality of catabolic plasmids following conjugal transfers.	Ikuma K Gunsch CK	2012 Jul-Aug	20551 [pii] 10.4161/bioe.20551 [doi]
Functional reconstitution of a tunable E3-dependent sumoylation pathway in Escherichia coli.	O'Brien SP DeLisa MP	2012	10.1371/journal.pone.0038671 [doi] PONE-D-11-25315 [pii]
Structural insights into Atg10-mediated formation of the autophagy-essential Atg12-Atg5 conjugate.	Yamaguchi M Noda NN Yamamoto H Shima T Kumeta H Kobashigawa Y Akada R Ohsumi Y Inagaki F	2012 Jul 3	S0969-2126(12)00177-3 [pii] 10.1016/j.str.2012.04.018 [doi]
Mutation spectra of S-(2-hydroxy-3,4-epoxybutyl)glutathione: comparison with 1,3-butadiene and its metabolites in the Escherichia coli rpoB gene.	Cho SH Guengerich FP	2012 Jul 16	10.1021/tx3002109 [doi]
Development of bead-based immunoassay to quantify neutralizing antibody for human papillomavirus 16 and 18.	Liu HB Chaturvedi PK Battogtokh G Bang HJ Kim IW Kim YW Park KS Ahn WS	2013 Jun	10.1007/s12033-012-9571-2 [doi]
Transferable integrons of Gram-negative bacteria isolated from the gut of a wild boar in the buffer zone of a national park.	Mokracka J Koczura R Kaznowski A	2012 Jun	10.1007/s13213-011-0369-4 [doi] 369 [pii]
The tyrosine gate as a potential entropic lever in the receptor-binding site of the bacterial adhesin FimH.	Wellens A Lahmann M Touaibia M Vaucher J Oscarson S Roy R Remaut H Bouckaert J	2012 Jun 19	10.1021/bi300251r [doi]
Lack of Tir ubiquitylation contributes to enteropathogenic E. coli remaining extracellular during nonphagocytic cell infections.	Lin AE Guttman JA	2012 Aug	10.1002/ar.22503 [doi]
Identification of New Delhi metallo-beta-lactamase 1 in Acinetobacter lwoffii of food animal origin.	Wang Y Wu C Zhang Q Qi J Liu H Wang Y He T Ma L Lai J Shen Z Liu Y Shen J	2012	10.1371/journal.pone.0037152 [doi] PONE-D-12-06154 [pii]
Evaluation of transferability of R-plasmid in bacteriocin-producing donors to bacteriocin-resistant recipients.	Usui M Hiki M Murakami K Ozawa M Nagai H Asai T	2012	?
Characterization of carotenogenesis genes in the cyanobacterium Anabaena sp. PCC 7120.	Masukawa H Mochimaru M Takaichi S	2012	10.1007/978-1-61779-879-5_18 [doi]
An efficient intergeneric conjugation of DNA from Escherichia coli to mycelia of the lincomycin-producer Streptomyces lincolnensis.	Du L Liu RH Ying L Zhao GR	2012	10.3390/ijms13044797 [doi] ijms-13-04797 [pii]
Epidemiological characteristics and genetic structure of blaNDM-1 in non-baumannii Acinetobacter spp. in China.	Fu Y Du X Ji J Chen Y Jiang Y Yu Y	2012 Sep	dks192 [pii] 10.1093/jac/dks192 [doi]
Development of an influenza virus protein array using Sortagging technology.	Sinisi A Popp MW Antos JM Pansegrau W Savino S Nissum M Rappuoli R Ploegh HL Buti L	2012 Jun 20	10.1021/bc200577u [doi]
[Effect of casamino acid on intergeneric conjugation in rapamycin-producing Streptomyces hygroscopicus ATCC29253].	Zhang W Lu H He J	2012 Feb 4	?
Prevalence of the plasmid-mediated quinolone resistance genes, aac(6')-Ib-cr, qepA, and oqxAB in clinical isolates of extended-spectrum beta-lactamase (ESBL)-producing Escherichia coli and Klebsiella pneumoniae in Korea.	Park KS Kim MH Park TS Nam YS Lee HJ Suh JT	2012 Spring	42/2/191 [pii]
Production of N-acetyl cis-4-hydroxy-L-proline by the yeast N-acetyltransferase Mpr1.	Hoa BT Hibi T Nasuno R Matsuo G Sasano Y Takagi H	2012 Aug	S1389-1723(12)00148-X [pii] 10.1016/j.jbiosc.2012.03.014 [doi]
Molecular characterization of IMP-type metallo-beta-lactamases among multidrug-resistant Achromobacter xylosoxidans.	Yamamoto M Nagao M Hotta G Matsumura Y Matsushima A Ito Y Takakura S Ichiyama S	2012 Sep	dks179 [pii] 10.1093/jac/dks179 [doi]
Site-specific chemical protein conjugation using genetically encoded aldehyde tags.	Rabuka D Rush JS deHart GW Wu P Bertozzi CR	2012 May 10	nprot.2012.045 [pii] 10.1038/nprot.2012.045 [doi]
Two-strain, cell-selective protein labeling in mixed bacterial cultures.	Truong F Yoo TH Lampo TJ Tirrell DA	2012 May 23	10.1021/ja3004667 [doi]
Error-prone PCR mutagenesis reveals functional domains of a bacterial transcriptional activator, TraJ.	Lu J Peng Y Arutyunov D Frost LS Glover JN	2012 Jul	JB.00312-12 [pii] 10.1128/JB.00312-12 [doi]
SXT constin among Vibrio cholerae isolates from a tertiary care hospital.	Pande K Mendiratta DK Vijayashri D Thamke DC Narang P	2012 Mar	IndianJMedRes_2012_135_3_346_95614 [pii]
The selection of recombinant binary plasmids generated by Gateway((R)) LR cloning in the Escherichia coli strain C2110.	Wu S Zhao B	2013 Jun	10.1007/s12033-012-9548-1 [doi]
Characterization of clinical multidrug-resistant Escherichia coli and Klebsiella pneumoniae isolates, 2007-2009, China.	Zhang Y Yang J Ye L Luo Y Wang W Zhou W Cui Z Han L	2012 Oct	10.1089/mdr.2012.0016 [doi]
Detection of KPC-2 and qnrS1 in clinical isolates of Morganella morganii from China.	Cai JC Yang W Hu YY Zhang R Zhou HW Chen GX	2012 Jun	S0732-8893(12)00105-8 [pii] 10.1016/j.diagmicrobio.2012.03.013 [doi]
Clostridium difficile carbohydrates: glucan in spores, PSII common antigen in cells, immunogenicity of PSII in swine and synthesis of a dual C. difficile-ETEC conjugate vaccine.	Bertolo L Boncheff AG Ma Z Chen YH Wakeford T Friendship RM Rosseau J Weese JS Chu M Mallozzi M Vedantam G Monteiro MA	2012 Jun 1	S0008-6215(12)00140-1 [pii] 10.1016/j.carres.2012.03.032 [doi]
Virulence and plasmid transferability of KPC Klebsiella pneumoniae at the Veterans Affairs Healthcare System of New Jersey.	Siu LK Lin JC Gomez E Eng R Chiang T	2012 Aug	10.1089/mdr.2011.0241 [doi]
Molecular characterization of a 21.4 kilobase antibiotic resistance plasmid from an alpha-hemolytic Escherichia coli O108:H- human clinical isolate.	Dawes FE Bulach DM Kuzevski A Bettelheim KA Venturini C Djordjevic SP Walker MJ	2012	10.1371/journal.pone.0034718 [doi] PONE-D-11-10512 [pii]
Characterization of Enterobacteriaceae producing OXA-48-like carbapenemases in the UK.	Dimou V Dhanji H Pike R Livermore DM Woodford N	2012 Jul	dks124 [pii] 10.1093/jac/dks124 [doi]
Characterization of CTX-M-14- and CTX-M-15-producing Escherichia coli of porcine origin.	Hammerum AM Jakobsen L Olsen SS Agerso Y	2012 Aug	dks148 [pii] 10.1093/jac/dks148 [doi]
Complete DNA sequence analysis of enterohemorrhagic Escherichia coli plasmid pO157_2 in beta-glucuronidase-positive E. coli O157:H7 reveals a novel evolutionary path.	Rump LV Meng J Strain EA Cao G Allard MW Gonzalez-Escalona N	2012 Jul	JB.00197-12 [pii] 10.1128/JB.00197-12 [doi]
Transfer of quinolone resistance gene qnrA1 to Escherichia coli through a 50 kb conjugative plasmid resulting from the splitting of a 300 kb plasmid.	Garza-Ramos U Barrios H Hernandez-Vargas MJ Rojas-Moreno T Reyna-Flores F Tinoco P Othon V Poirel L Nordmann P Cattoir V Ruiz-Palacios G Fernandez JL Santamaria RI Bustos P Castro N Silva-Sanchez J	2012 Jul	dks123 [pii] 10.1093/jac/dks123 [doi]
Complete sequencing of an IncH plasmid carrying the blaNDM-1, blaCTX-M-15 and qnrB1 genes.	Villa L Poirel L Nordmann P Carta C Carattoli A	2012 Jul	dks114 [pii] 10.1093/jac/dks114 [doi]
Roles of Exc protein and DNA homology in the CTnDOT excision reaction.	Keeton CM Gardner JF	2012 Jul	JB.00359-12 [pii] 10.1128/JB.00359-12 [doi]
Genome-wide screening of Escherichia coli genes involved in execution and promotion of cell-to-cell transfer of non-conjugative plasmids: rodZ (yfgA) is essential for plasmid acceptance in recipient cells.	Kurono N Matsuda A Etchuya R Sobue R Sasaki Y Ito M Ando T Maeda S	2012 Apr 27	S0006-291X(12)00597-9 [pii] 10.1016/j.bbrc.2012.03.127 [doi]
Characterization of a mobile and multiple resistance plasmid isolated from swine manure and its detection in soil after manure application.	Rahube TO Yost CK	2012 Jun	10.1111/j.1365-2672.2012.05301.x [doi]
Role of IncHI2 plasmids harbouring blaVIM-1, blaCTX-M-9, aac(6')-Ib and qnrA genes in the spread of multiresistant Enterobacter cloacae and Klebsiella pneumoniae strains in different units at Hospital Vall d'Hebron, Barcelona, Spain.	Coelho A Piedra-Carrasco N Bartolome R Quintero-Zarate JN Larrosa N Cornejo-Sanchez T Prats G Garcillan-Barcia MP de la Cruz F Gonzalez-Lopez JJ	2012 Jun	S0924-8579(12)00047-7 [pii] 10.1016/j.ijantimicag.2012.01.006 [doi]
Interaction between relaxase MbeA and accessory protein MbeC of the conjugally mobilizable plasmid ColE1.	Varsaki A Lamb HK Eleftheriadou O Vandera E Thompson P Moncalian G de la Cruz F Hawkins AR Drainas C	2012 Mar 23	S0014-5793(12)00109-3 [pii] 10.1016/j.febslet.2012.01.060 [doi]
Novel conjugative transferable multiple drug resistance plasmid pAQU1 from Photobacterium damselae subsp. damselae isolated from marine aquaculture environment.	Nonaka L Maruyama F Miyamoto M Miyakoshi M Kurokawa K Masuda M	2012	JST.JSTAGE/jsme2/ME11338 [pii]
Prevalence of the oqxAB gene complex in Klebsiella pneumoniae and Escherichia coli clinical isolates.	Yuan J Xu X Guo Q Zhao X Ye X Guo Y Wang M	2012 Jul	dks086 [pii] 10.1093/jac/dks086 [doi]
A natural system of chromosome transfer in Yersinia pseudotuberculosis.	Lesic B Zouine M Ducos-Galand M Huon C Rosso ML Prevost MC Mazel D Carniel E	2012	10.1371/journal.pgen.1002529 [doi] PGENETICS-D-11-01951 [pii]
Nanoalumina promotes the horizontal transfer of multiresistance genes mediated by plasmids across genera.	Qiu Z Yu Y Chen Z Jin M Yang D Zhao Z Wang J Shen Z Wang X Qian D Huang A Zhang B Li JW	2012 Mar 27	1107254109 [pii] 10.1073/pnas.1107254109 [doi]
Broad diversity of conjugative plasmids in integron-carrying bacteria from wastewater environments.	Moura A Oliveira C Henriques I Smalla K Correia A	2012 May	10.1111/j.1574-6968.2012.02544.x [doi]
Vaccine process technology.	Josefsberg JO Buckland B	2012 Jun	10.1002/bit.24493 [doi]
Cell permeable cocaine esterases constructed by chemical conjugation and genetic recombination.	Lee TY Park YS Garcia GA Sunahara RK Woods JH Yang VC	2012 May 7	10.1021/mp200623w [doi]
Variants of glutathione s-transferase pi 1 exhibit differential enzymatic activity and inhibition by heavy metals.	Goodrich JM Basu N	2012 Jun	S0887-2333(12)00058-6 [pii] 10.1016/j.tiv.2012.02.005 [doi]
Stability, entrapment and variant formation of Salmonella genomic island 1.	Kiss J Nagy B Olasz F	2012	10.1371/journal.pone.0032497 [doi] PONE-D-11-20862 [pii]
Prevalence of plasmid-mediated quinolone resistance determinants qnr and aac(6')-Ib-cr in Escherichia coli and Klebsiella pneumoniae producing extended-spectrum beta-lactamases in Spain.	Briales A Rodriguez-Martinez JM Velasco C de Alba PD Rodriguez-Bano J Martinez-Martinez L Pascual A	2012 May	S0924-8579(12)00028-3 [pii] 10.1016/j.ijantimicag.2011.12.009 [doi]
Emergence of Proteus mirabilis harboring blaKPC-2 and qnrD in a Chinese Hospital.	Hu YY Cai JC Zhang R Zhou HW Sun Q Chen GX	2012 May	AAC.05519-11 [pii] 10.1128/AAC.05519-11 [doi]
Synthesis and characterization of Ru(II)-DMSO-Cl-chalcone complexes: DNA binding, nuclease, and topoisomerase II inhibitory activity.	Gaur R Mishra L	2012 Mar 5	10.1021/ic202440r [doi]
Nonreplicating intracellular bacterial vector for conjugative DNA transfer into mitochondria.	Yoon YG Koob MD	2012 Apr	10.1007/s11095-012-0701-0 [doi]
Detection of qnr genes among Escherichia coli isolates of animal origin and complete sequence of the conjugative qnrB19-carrying plasmid pQNR2078.	Schink AK Kadlec K Schwarz S	2012 May	dks024 [pii] 10.1093/jac/dks024 [doi]
Detection of the staphylococcal multiresistance gene cfr in Escherichia coli of domestic-animal origin.	Wang Y He T Schwarz S Zhou D Shen Z Wu C Wang Y Ma L Zhang Q Shen J	2012 May	dks020 [pii] 10.1093/jac/dks020 [doi]
In vitro bioassay for reactive toxicity towards proteins implemented for water quality monitoring.	Tang JY Glenn E Thoen H Escher BI	2012 Mar	10.1039/c2em10927a [doi]
Construction and validation of a GFP-based vector for promoter expression analysis in the fish pathogen Flavobacterium psychrophilum.	Gomez E Perez-Pascual D Fernandez L Mendez J Reimundo P Navais R Guijarro JA	2012 Apr 15	S0378-1119(12)00125-4 [pii] 10.1016/j.gene.2012.01.069 [doi]
Prevalence and characterisation of CTX-M beta-lactamases amongst Escherichia coli isolates from healthy food animals in China.	Zheng H Zeng Z Chen S Liu Y Yao Q Deng Y Chen X Lv L Zhuo C Chen Z Liu JH	2012 Apr	S0924-8579(12)00008-8 [pii] 10.1016/j.ijantimicag.2011.12.001 [doi]
Involvement of pnp in survival of UV radiation in Escherichia coli K-12.	Rath D Mangoli SH Pagedar AR Jawali N	2012 May	mic.0.056309-0 [pii] 10.1099/mic.0.056309-0 [doi]
Recent progresses on AI-2 bacterial quorum sensing inhibitors.	Zhu P Li M	2012	CMC-19-2-174 [pii]
Integrating conjugative elements as vectors of antibiotic, mercury, and quaternary ammonium compound resistance in marine aquaculture environments.	Rodriguez-Blanco A Lemos ML Osorio CR	2012 May	AAC.05997-11 [pii] 10.1128/AAC.05997-11 [doi]
Site-specific integration of foreign DNA into minimal bacterial and human target sequences mediated by a conjugative relaxase.	Agundez L Gonzalez-Prieto C Machon C Llosa M	2012	10.1371/journal.pone.0031047 [doi] PONE-D-11-21238 [pii]
Gene transfer in Leptolyngbya sp. strain BL0902, a cyanobacterium suitable for production of biomass and bioproducts.	Taton A Lis E Adin DM Dong G Cookson S Kay SA Golden SS Golden JW	2012	10.1371/journal.pone.0030901 [doi] PONE-D-11-22274 [pii]
Complete sequence of a novel 178-kilobase plasmid carrying bla(NDM-1) in a Providencia stuartii strain isolated in Afghanistan.	McGann P Hang J Clifford RJ Yang Y Kwak YI Kuschner RA Lesho EP Waterman PE	2012 Apr	AAC.05604-11 [pii] 10.1128/AAC.05604-11 [doi]
Emergence of OXA-48-type carbapenemase-producing Enterobacteriaceae in German hospitals.	Pfeifer Y Schlatterer K Engelmann E Schiller RA Frangenberg HR Stiewe D Holfelder M Witte W Nordmann P Poirel L	2012 Apr	AAC.05315-11 [pii] 10.1128/AAC.05315-11 [doi]
Determination of conjugation rates on solid surfaces.	del Campo I Ruiz R Cuevas A Revilla C Vielva L de la Cruz F	2012 Mar	S0147-619X(12)00012-1 [pii] 10.1016/j.plasmid.2012.01.008 [doi]
Autoregulation of the synthesis of the MobM relaxase encoded by the promiscuous plasmid pMV158.	Lorenzo-Diaz F Solano-Collado V Lurz R Bravo A Espinosa M	2012 Apr	JB.06827-11 [pii] 10.1128/JB.06827-11 [doi]
A new chitosan-thymine conjugate: synthesis, characterization and biological activity.	Kumar S Koh J Kim H Gupta MK Dutta PK	2012 Apr 1	S0141-8130(12)00017-7 [pii] 10.1016/j.ijbiomac.2012.01.015 [doi]
High prevalence of multidrug resistance in bacterial uropathogens from Kathmandu, Nepal.	Baral P Neupane S Marasini BP Ghimire KR Lekhak B Shrestha B	2012 Jan 19	1756-0500-5-38 [pii] 10.1186/1756-0500-5-38 [doi]
Coastal seawater bacteria harbor a large reservoir of plasmid-mediated quinolone resistance determinants in Jiaozhou Bay, China.	Zhao JY Dang H	2012 Jul	10.1007/s00248-012-0008-z [doi]
In situ monitoring of IncF plasmid transfer on semi-solid agar surfaces reveals a limited invasion of plasmids in recipient colonies.	Reisner A Wolinski H Zechner EL	2012 Mar	S0147-619X(12)00005-4 [pii] 10.1016/j.plasmid.2012.01.001 [doi]
General requirements for protein secretion by the F-like conjugation system R1.	Lang S Zechner EL	2012 Mar	S0147-619X(12)00002-9 [pii] 10.1016/j.plasmid.2011.12.014 [doi]
The peptidoglycan hydrolase TcpG is required for efficient conjugative transfer of pCW3 in Clostridium perfringens.	Bantwal R Bannam TL Porter CJ Quinsey NS Lyras D Adams V Rood JI	2012 Mar	S0147-619X(12)00004-2 [pii] 10.1016/j.plasmid.2011.12.016 [doi]
Quantitative Forster resonance energy transfer analysis for kinetic determinations of SUMO-specific protease.	Liu Y Song Y Madahar V Liao J	2012 Mar 1	S0003-2697(11)00790-1 [pii] 10.1016/j.ab.2011.12.019 [doi]
Fluorophore targeting to cellular proteins via enzyme-mediated azide ligation and strain-promoted cycloaddition.	Yao JZ Uttamapinant C Poloukhtine A Baskin JM Codelli JA Sletten EM Bertozzi CR Popik VV Ting AY	2012 Feb 29	10.1021/ja208090p [doi]
Gut inflammation can boost horizontal gene transfer between pathogenic and commensal Enterobacteriaceae.	Stecher B Denzler R Maier L Bernet F Sanders MJ Pickard DJ Barthel M Westendorf AM Krogfelt KA Walker AW Ackermann M Dobrindt U Thomson NR Hardt WD	2012 Jan 24	1113246109 [pii] 10.1073/pnas.1113246109 [doi]
Dissemination of the fosfomycin resistance gene fosA3 with CTX-M beta-lactamase genes and rmtB carried on IncFII plasmids among Escherichia coli isolates from pets in China.	Hou J Huang X Deng Y He L Yang T Zeng Z Chen Z Liu JH	2012 Apr	AAC.05104-11 [pii] 10.1128/AAC.05104-11 [doi]
A novel membrane protein, VanJ, conferring resistance to teicoplanin.	Novotna G Hill C Vincent K Liu C Hong HJ	2012 Apr	AAC.05869-11 [pii] 10.1128/AAC.05869-11 [doi]
Anticalins small engineered binding proteins based on the lipocalin scaffold.	Gebauer M Skerra A	2012	B978-0-12-396962-0.00007-0 [pii] 10.1016/B978-0-12-396962-0.00007-0 [doi]
Emergence of Escherichia coli sequence type 410 (ST410) with KPC-2 beta-lactamase.	Mavroidi A Miriagou V Malli E Stefos A Dalekos GN Tzouvelekis LS Petinaki E	2012 Mar	S0924-8579(11)00458-4 [pii] 10.1016/j.ijantimicag.2011.11.003 [doi]
Prevalence of plasmid mediated bla(TEM-1) and bla(CTX-M-15) type extended spectrum beta-lactamases in patients with sepsis.	Haque SF Ali SZ Tp M Khan AU	2012 Feb	S1995-7645(12)60003-0 [pii] 10.1016/S1995-7645(12)60003-0 [doi]
Cefoxitin as an alternative to carbapenems in a murine model of urinary tract infection due to Escherichia coli harboring CTX-M-15-type extended-spectrum beta-lactamase.	Lepeule R Ruppe E Le P Massias L Chau F Nucci A Lefort A Fantin B	2012 Mar	AAC.06233-11 [pii] 10.1128/AAC.06233-11 [doi]
Molecular characterization of NDM-1 producing Enterobacteriaceae isolates in Singapore hospitals.	Teo J Ngan G Balm M Jureen R Krishnan P Lin R	2012 Jan	10.5365/WPSAR.2011.2.4.010 [doi] WPSAR.2012.3.1-019 [pii]
Low efficiency of homology-facilitated illegitimate recombination during conjugation in Escherichia coli.	Amarir-Bouhram J Goin M Petit MA	2011	10.1371/journal.pone.0028876 [doi] PONE-D-11-15385 [pii]
Introduction of OXA-48-producing Enterobacteriaceae to Israeli hospitals by medical tourism.	Adler A Shklyar M Schwaber MJ Navon-Venezia S Dhaher Y Edgar R Solter E Benenson S Masarwa S Carmeli Y	2011 Dec	?
